公司名称;股票代码;营业总收入(万元)
中国铝业股份有限公司;601600.SH;18,008,075.00
云南铝业股份有限公司;000807.SZ;2,212,994.44
山东南山铝业股份有限公司;600219.SH;1,706,788.08
河南中孚实业股份有限公司;600595.SH;1,152,200.43
河南明泰铝业股份有限公司;601677.SH;1,036,629.54
新疆众和股份有限公司;600888.SH;600,612.03
怡球金属资源再生(中国)股份有限公司;601388.SH;538,404.01
焦作万方铝业股份有限公司;000612.SZ;501,676.41
江苏常铝铝业股份有限公司;002160.SZ;406,385.04
江苏亚太轻合金科技股份有限公司;002540.SZ;340,748.96
吉林利源精制股份有限公司;002501.SZ;303,136.30
山东宏创铝业控股股份有限公司;002379.SZ;144,649.53
福建省闽发铝业股份有限公司;002578.SZ;122,864.71
广东和胜工业铝材股份有限公司;002824.SZ;84,102.89
宁波富邦精业集团股份有限公司;600768.SH;80,467.08
