公司名称;股票代码;营业总收入(万元)
一汽轿车股份有限公司;000800.SZ;2,790,221.24
吉林亚泰(集团)股份有限公司;600881.SH;1,765,468.29
长春欧亚集团股份有限公司;600697.SH;1,398,142.40
长春一汽富维汽车零部件股份有限公司;600742.SH;1,273,277.72
中钢国际工程技术股份有限公司;000928.SZ;785,923.79
长春中天能源股份有限公司;600856.SH;649,291.74
吉林电力股份有限公司;000875.SZ;510,263.35
长春高新技术产业(集团)股份有限公司;000661.SZ;410,226.16
诺德投资股份有限公司;600110.SH;253,774.58
吉林化纤股份有限公司;000420.SZ;219,782.27
启明信息技术股份有限公司;002232.SZ;171,220.90
吉林华微电子股份有限公司;600360.SH;163,489.03
长春燃气股份有限公司;600333.SH;146,282.19
吉林紫鑫药业股份有限公司;002118.SZ;132,723.08
吉林森林工业股份有限公司;600189.SH;102,607.07
吉林高速公路股份有限公司;601518.SH;97,362.02
长春一东离合器股份有限公司;600148.SH;76,832.35
长春经开(集团)股份有限公司;600215.SH;41,721.82
吉林成城集团股份有限公司;600247.SH;20,320.33
