公司名称;股票代码;营业总收入(万元)
中国中煤能源股份有限公司;601898.SH;8,112,323.20
陕西煤业股份有限公司;601225.SH;5,092,700.20
山西西山煤电股份有限公司;000983.SZ;2,865,527.37
阳泉煤业(集团)股份有限公司;600348.SH;2,811,406.59
山西潞安环保能源开发股份有限公司;601699.SH;2,354,355.60
永泰能源股份有限公司;600157.SH;2,238,824.24
平顶山天安煤业股份有限公司;601666.SH;2,074,150.24
冀中能源股份有限公司;000937.SZ;2,038,175.39
开滦能源化工股份有限公司;600997.SH;1,856,157.78
山西美锦能源股份有限公司;000723.SZ;1,223,778.94
山西兰花科技创业股份有限公司;600123.SH;756,633.02
贵州盘江精煤股份有限公司;600395.SH;608,131.09
山西焦化股份有限公司;600740.SH;599,499.23
郑州煤电股份有限公司;600121.SH;571,240.00
安源煤业集团股份有限公司;600397.SH;413,016.80
内蒙古平庄能源股份有限公司;000780.SZ;280,799.04
山西蓝焰控股股份有限公司;000968.SZ;190,371.95
云南云维股份有限公司;600725.SH;48,934.61
